title,url,sources,notes,appears_in,appears_in_url
"Sources of methane emissions, 2023",https://www.iea.org/data-and-statistics/charts/sources-of-methane-emissions-2023-2,,"Energy sector emissions are from the Global Methane Tracker for 2023; non-energy sector emissions are the average of estimates available from UNFCCC, CAIT, EDGAR and CEDS for 2019, 2020 or 2022. Natural sources and biomass burning are top-down median estimates and bottom-up median estimates respectively from the Global Methane Budget for 2017.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Satellite-detected fossil fuel methane events, 2023",https://www.iea.org/data-and-statistics/charts/satellite-detected-fossil-fuel-methane-events-2023,IEA analysis based on data provided by GHGSat (https://www.ghgsat.com/en).,"Very large = more than 10 t/h, Large = 1-10 t/h; Medium = less than 1 t/h. GHGSat satellites have a methane detection threshold of 0.1 t/hr. Note that multiple events can be detected within one daily observation.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Estimate of methane emissions detected by satellites in the United States based on Sentinel-5P, 2019-2023",https://www.iea.org/data-and-statistics/charts/estimate-of-methane-emissions-detected-by-satellites-in-the-united-states-based-on-sentinel-5p-2019-2023,IEA analysis based on data from Sentinel - 5P provided by Kayrros (https://www.kayrros.com).,"Estimates based on Sentinel-5P data covers methane emissions from the oil and gas sector and adjusts observed methane emissions by coverage, assuming each methane leak lasts for 24 hours.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Estimate of methane emissions detected by satellites in the United States based on Sentinel-2, 2019-2023",https://www.iea.org/data-and-statistics/charts/estimate-of-methane-emissions-detected-by-satellites-in-the-united-states-based-on-sentinel-2-2019-2023,EA analysis based on data from Sentinel-2 provided by Orbio Earth (https://www.orbio.earth/).,"Estimates based on Sentinel-2 include observed emissions from upstream onshore oil and gas facilities, which are then adjusted to a total based on daily coverage and confidence factor.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Reductions from current reduction pledges, policies and national action plans for methane emissions from oil and gas, 2030",https://www.iea.org/data-and-statistics/charts/reductions-from-current-reduction-pledges-policies-and-national-action-plans-for-methane-emissions-from-oil-and-gas-2030,,Pledges include whether countries are signatories of GMP or have made a public high-level pledge to reduce methane. Policies and plans include detailed national action plans on methane or a specific methane-related target.,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Reductions from current reduction pledges, policies and national action plans for methane emissions from coal, 2030",https://www.iea.org/data-and-statistics/charts/reductions-from-current-reduction-pledges-policies-and-national-action-plans-for-methane-emissions-from-coal-2030,,Pledges include whether countries are signatories of GMP or have made a public high-level pledge to reduce methane. Policies and plans include detailed national action plans on methane or a specific methane-related target.,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Methane emissions and level of regulatory development on methane control from oil and gas operations in selected countries and regions, to 2030",https://www.iea.org/data-and-statistics/charts/methane-emissions-and-level-of-regulatory-development-on-methane-control-from-oil-and-gas-operations-in-selected-countries-and-regions-to-2030,,"Includes countries that cause 80% of oil and gas methane emissions in 2023. Classification based on policies and regulations in place to reduce oil and gas methane emissions to 2030, including those on LDAR, restrictions on non-emergency flaring and venting, or mandates on specific emissions-reducing equipment and process upgrades. Limited = few, if any, regulations in place or in development and no announced commitments to develop such regulations; early stage = announced commitment to develop regulations; moderate = some regulations currently in place or on track to be in place but with significant gaps; advanced = comprehensive regulations in place or on track to be in place.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Satellite-detected large methane emissions, 2019-2023",https://www.iea.org/data-and-statistics/charts/satellite-detected-large-methane-emissions-2019-2023,"Kayrros (2024), Kayrros Methane Watch: Independent monitoring of large methane emissions (https://methanewatch.kayrros.com/).",,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Marginal abatement cost curve for methane emissions from fossil fuel operations, 2023",https://www.iea.org/data-and-statistics/charts/marginal-abatement-cost-curve-for-methane-emissions-from-fossil-fuel-operations-2023,,,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Number of detected emissions and notifications by MARS, January-September 2023",https://www.iea.org/data-and-statistics/charts/number-of-detected-emissions-and-notifications-by-mars-january-september-2023,"IEA analysis based on data from International Methane Emissions Observatory,(accessed 2023) (https://methanedata.azurewebsites.net/plumemap?mars=true).",MARS = the UN Environment Programme’s Methane Alert and Response System.,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
Range of reported and estimated methane emissions from oil and gas operations,https://www.iea.org/data-and-statistics/charts/range-of-reported-and-estimated-methane-emissions-from-oil-and-gas-operations,"The Global Carbon Project (2020), Global Methane Budget (https://www.globalcarbonproject.org/methanebudget/); Shen, L., Jacob, D.J., Gautam, R. et al.(2022) National quantifications of methane emissions from fuel exploitation using high resolution inversions of satellite observations (https://doi.org/10.1038/s41467-023-40671-6); UNFCCC (2023), Greenhouse Gas Data (https://unfccc.int/topics/mitigation/resources/registry-and-data/ghg-data-from-unfccc); IMEO, 2023, An Eye on Methane: International Methane Emissions Observatory 2023 Report (https://www.unep.org/resources/report/eye-methane-international-methane-emissions-observatory-2023-report); IOGP (2023) IOGP Environmental performance indicators – 2022 data (https://www.iogp.org/bookstore/product/iogp-environmental-performance-indicators-2022-data/.","UNFCCC = United Nations Framework Convention on Climate Change, OGMP 2.0 = Oil & Gas Methane Partnership 2.0, IOGP = International Association of Oil and Gas Producers. IEA estimates are for 2023, other estimates are for the latest year available. Emissions from company reporting are scaled to global level based on the share of production of reporting companies and assuming non reporting companies have the same average emissions intensity.",Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Domestic and imported oil and gas methane emissions for advanced economies, 2023",https://www.iea.org/data-and-statistics/charts/domestic-and-imported-oil-and-gas-methane-emissions-for-advanced-economies-2023,,,Global Methane Tracker 2024,https://www.iea.org/reports/global-methane-tracker-2024
"Marginal abatement cost curve for methane emissions from fossil fuel operations, 2023",https://www.iea.org/data-and-statistics/charts/marginal-abatement-cost-curve-for-methane-emissions-from-fossil-fuel-operations-2023-2,,,,
"Share of global electric car markets by selected carmakers, 2015-2023",https://www.iea.org/data-and-statistics/charts/share-of-global-electric-car-markets-by-selected-carmakers-2015-2023,IEA analysis based on Bloomberg and EV Volumes.,"Market share in terms of global electric car sales, including battery electric and plug-in hybrid electric cars. Chinese carmakers include 33 companies excluding BYD.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Early-stage venture capital investments in batteries by technology, 2010-2023",https://www.iea.org/data-and-statistics/charts/early-stage-venture-capital-investments-in-batteries-by-technology-2010-2023,IEA analysis based on Cleantech Group i3 database (2023).,"""Early-stage deals"" refer to seed and series A. “Battery maker” refers to manufacturers of battery packs and cells or associated technology. “Battery component” refers to components within batteries, such as cathodes and anodes. Battery technologies may also include applications for stationary storage. Each year, the IEA team improves methodology and expands coverage, which can explain absolute value differences compared to GEVO-2023.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Growth-stage venture capital investments in batteries by technology, 2010-2023",https://www.iea.org/data-and-statistics/charts/growth-stage-venture-capital-investments-in-batteries-by-technology-2010-2023,IEA analysis based on Cleantech Group i3 database (2023).,"Growth-stage to series B and growth equity deals. “Battery maker” refers to manufacturers of battery packs and cells or associated technology. “Battery component” refers to components within batteries, such as cathodes and anodes. Battery technologies may also include applications for stationary storage. Each year, the IEA team improves methodology and expands coverage, which can explain absolute value differences compared to GEVO-2023.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Early-stage venture capital investments in electric mobility by technology, 2010-2023",https://www.iea.org/data-and-statistics/charts/early-stage-venture-capital-investments-in-electric-mobility-by-technology-2010-2023,IEA analysis based on Cleantech Group i3 database (2023).,"""Early-stage deals"" refer to seed and series A. “Other” includes EV components and manufacturing (excluding electric motors that are not specific to road transport), digital and software products otherwise excluded, hybrid carmakers, EV project development and operation, and EV finance. Each year, the IEA team improves methodology and expands coverage, which can explain absolute value differences compared to GEVO-2023.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Growth-stage venture capital investments in electric mobility by technology, 2010-2023",https://www.iea.org/data-and-statistics/charts/growth-stage-venture-capital-investments-in-electric-mobility-by-technology-2010-2023,IEA analysis based on Cleantech Group i3 database (2023).,"Growth-stage to series B and growth equity deals. “Other” includes EV components and manufacturing (excluding electric motors that are not specific to road transport), digital and software products otherwise excluded, hybrid carmakers, EV project development and operation, and EV finance. Each year, the IEA team improves methodology and expands coverage, which can explain absolute value differences compared to GEVO-2023.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Share of global electric car markets by gross margin of selected companies, 2015-2023",https://www.iea.org/data-and-statistics/charts/share-of-global-electric-car-markets-by-gross-margin-of-selected-companies-2015-2023,IEA analysis based on Bloomberg and EV Volumes.,"Major incumbent carmakers include BMW, Ford, GM, Honda, Hyundai, Kia, Mercedes-Benz, Nissan, Renault, Stellantis, Toyota, and Volkswagen. Gross margin for 2024 and 2025 estimated by companies in their annual reporting.",Global EV Outlook 2024,https://www.iea.org/reports/global-ev-outlook-2024
"Energy supply from coal in advanced economies, 1905-2023",https://www.iea.org/data-and-statistics/charts/energy-supply-from-coal-in-advanced-economies-1905-2023,IEA analysis with data from 1900 to 1971 estimated using IIASA PFU database ( https://tntcat.iiasa.ac.at/PFUDB/dsd?Action=htmlpage&page=about).,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in total CO2 emissions from combustion by driver in the European Union, 2022-2023",https://www.iea.org/data-and-statistics/charts/change-in-total-co2-emissions-from-combustion-by-driver-in-the-european-union-2022-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in CO2 emissions from electricity generation by driver in the United States, 2022-2023",https://www.iea.org/data-and-statistics/charts/change-in-co2-emissions-from-electricity-generation-by-driver-in-the-united-states-2022-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Average annual rate of energy intensity improvement by economic region, 2010-2023",https://www.iea.org/data-and-statistics/charts/average-annual-rate-of-energy-intensity-improvement-by-economic-region-2010-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in CO2 emissions by driver in China, 2022-2023",https://www.iea.org/data-and-statistics/charts/change-in-co2-emissions-by-driver-in-china-2022-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Impact of weak monsoons and temperatures on electricity demand in India, 2023",https://www.iea.org/data-and-statistics/charts/impact-of-weak-monsoons-and-temperatures-on-electricity-demand-in-india-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"CO2 emissions from combustion in advanced economies, 1973-2023",https://www.iea.org/data-and-statistics/charts/co2-emissions-from-combustion-in-advanced-economies-1973-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in CO2 emissions from combustion by sector and region, 2022-2023",https://www.iea.org/data-and-statistics/charts/change-in-co2-emissions-from-combustion-by-sector-and-region-2022-2023,,EMDE= emerging market and developing economies.,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in hydropower output by region, 2023 versus 2022",https://www.iea.org/data-and-statistics/charts/change-in-hydropower-output-by-region-2023-versus-2022,,Changes in hydropower outputs are calculated assuming that the availability of the hydropower plant fleet in each region remained consistent with 2022 levels throughout 2023 and take into account capacity additions in 2023.,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Impact of weak monsoons on electricity generation emissions in India, 2023",https://www.iea.org/data-and-statistics/charts/impact-of-weak-monsoons-on-electricity-generation-emissions-in-india-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in hydropower output globally and in China, 2023 versus 2022",https://www.iea.org/data-and-statistics/charts/change-in-hydropower-output-globally-and-in-china-2023-versus-2022,,Changes in hydropower outputs are calculated assuming that the availability of the hydropower plant fleet in each region remained consistent with 2022 levels throughout 2023 and take into account capacity additions in 2023.,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Annual average rate of global CO2 emissions and GDP growth by decade, 1903-2023",https://www.iea.org/data-and-statistics/charts/annual-average-rate-of-global-co2-emissions-and-gdp-growth-by-decade-1903-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in CO2 emissions from energy combustion and avoided emissions from deployment of major clean technologies, 2019-2023",https://www.iea.org/data-and-statistics/charts/change-in-co2-emissions-from-energy-combustion-and-avoided-emissions-from-deployment-of-major-clean-technologies-2019-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Combined one-off effects on global CO2 emissions, 2022-2023",https://www.iea.org/data-and-statistics/charts/combined-one-off-effects-on-global-co2-emissions-2022-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"CO2 total emissions by region, 2000-2023",https://www.iea.org/data-and-statistics/charts/co2-total-emissions-by-region-2000-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Change in CO2 emissions by fuel and region, 2022-2023",https://www.iea.org/data-and-statistics/charts/change-in-co2-emissions-by-fuel-and-region-2022-2023,,AE = advanced economies; EMDE = emerging market and developing economies. International bunkers include the demand for fuels for international aviation and international maritime transport.,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"CO2 total emissions per capita by region, 2000-2023",https://www.iea.org/data-and-statistics/charts/co2-total-emissions-per-capita-by-region-2000-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Impact of temperature variations on CO2 emissions in selected regions, 2022-2023",https://www.iea.org/data-and-statistics/charts/impact-of-temperature-variations-on-co2-emissions-in-selected-regions-2022-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Total increase in energy-related CO2 emissions, 1900-2023",https://www.iea.org/data-and-statistics/charts/total-increase-in-energy-related-co2-emissions-1900-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
"Annual change in energy-related CO2 emissions, 1900-2023",https://www.iea.org/data-and-statistics/charts/annual-change-in-energy-related-co2-emissions-1900-2023,,,CO2 Emissions in 2023,https://www.iea.org/reports/co2-emissions-in-2023
Korea: absolute y-o-y renewable electricity production variation in November 2023,https://www.iea.org/data-and-statistics/charts/korea-absolute-y-o-y-renewable-electricity-production-variation-in-november-2023,"IEA (2023), Monthly Electricity Statistics https://www.iea.org/data-and-statistics/data-product/monthly-electricity-statistics",* Monthly data for combustible renewables are estimated based on IEA annual data,,
"IEA total oil stocks, end-February 2024",https://www.iea.org/data-and-statistics/charts/iea-total-oil-stocks-end-february-2024,,,,
"Venture capital investment in energy start-ups, by technology area, for early-stage and growth-stage deals, 2010-2023",https://www.iea.org/data-and-statistics/charts/venture-capital-investment-in-energy-start-ups-by-technology-area-for-early-stage-and-growth-stage-deals-2010-2023,IEA analysis based on Cleantech Group (2024)(https://i3connect.com/front_page).,,Innovation in all its forms in spotlight at first Energy Innovation Forum at IEA Ministerial,https://www.iea.org/commentaries/innovation-in-all-its-forms-in-spotlight-at-first-energy-innovation-forum-at-iea-ministerial
"Average Russian oil exports by country and region, 2021-2023",https://www.iea.org/data-and-statistics/charts/average-russian-oil-exports-by-country-and-region-2021-2023,"IEA, Argus Media Group, Kpler.",Data for this figure were derived by granular analysis and estimates of country of origin data in cases where shipments transit via third countries. They may differ from customs information due to calculation methodology and estimates updates.,,
"Share of European Union gas demand met by Russian supply, 2001-2023",https://www.iea.org/data-and-statistics/charts/share-of-european-union-gas-demand-met-by-russian-supply-2001-2023,,,,
"Cumulative renewable electricity capacity in the main and accelerated cases and Net Zero Scenario, 2021-2030",https://www.iea.org/data-and-statistics/charts/cumulative-renewable-electricity-capacity-in-the-main-and-accelerated-cases-and-net-zero-scenario-2021-2030,"IEA analysis based on IEA (2023), Net Zero Roadmap: A Global Pathway to Keep the 1.5°C Goal in Reach (https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach); IEA (2023),World Energy Outlook 2023 (https://www.iea.org/reports/world-energy-outlook-2023).","Solar PV and wind include capacity dedicated to hydrogen production. NZE = IEA Net Zero Scenario Emissions by 2050. 2022 are historical values, 2023 is an estimated value and 2023-2027 are main case values.",,
"Five-year biofuel demand growth, main case, 2011-2028",https://www.iea.org/data-and-statistics/charts/five-year-biofuel-demand-growth-main-case-2011-2028,"IEA (2023), Renewables 2023, https://www.iea.org/reports/renewables-2023.",,India could triple its biofuel use and accelerate global deployment,https://www.iea.org/commentaries/india-could-triple-its-biofuel-use-and-accelerate-global-deployment
"Biofuel consumption in the acclerated case in India, 2015 to 2028",https://www.iea.org/data-and-statistics/charts/biofuel-consumption-in-the-acclerated-case-in-india-2015-to-2028,"IEA analysis based on IEA (2023), Renewables 2023, https://www.iea.org/reports/renewables-2023.","Biofuels consumption is from Renewables 2023, assuming India achieves 20% ethanol blending by 2025/26, is on track for 5% biodiesel blending by 2030 and achieves 2% biojet blending for international flights by 2028.",India could triple its biofuel use and accelerate global deployment,https://www.iea.org/commentaries/india-could-triple-its-biofuel-use-and-accelerate-global-deployment
"Feedstock demand in India, 2015 to 2028",https://www.iea.org/data-and-statistics/charts/feedstock-demand-in-india-2015-to-2028,,,India could triple its biofuel use and accelerate global deployment,https://www.iea.org/commentaries/india-could-triple-its-biofuel-use-and-accelerate-global-deployment
"Global biofuel demand, main case, accelerated case and in the Net Zero Scenario, 2010-2030",https://www.iea.org/data-and-statistics/charts/global-biofuel-demand-main-case-accelerated-case-and-in-the-net-zero-scenario-2010-2030,,"IEA (2023), Renewables 2023, https://www.iea.org/reports/renewables-2023. IEA (2023), World Energy Outlook 2023, https://www.iea.org/reports/world-energy-outlook-2023.",India could triple its biofuel use and accelerate global deployment,https://www.iea.org/commentaries/india-could-triple-its-biofuel-use-and-accelerate-global-deployment
"Clean energy investment by region, 2018-2023",https://www.iea.org/data-and-statistics/charts/clean-energy-investment-by-region-2018-2023,,MER = market exchange rate. 2023 values are estimates.,Reducing the Cost of Capital,https://www.iea.org/reports/reducing-the-cost-of-capital
"Primary finance by provider type and source of selected utility-scale solar PV and wind projects in Senegal, 2015-2019",https://www.iea.org/data-and-statistics/charts/primary-finance-by-provider-type-and-source-of-selected-utility-scale-solar-pv-and-wind-projects-in-senegal-2015-2019,"World Bank Group (2023), Private participation in infrastructure database (https://ppi.worldbank.org/en/ppidata).",DFI = Development finance institutions. The data include financing sources of six utility-scale solar PV power projects and one wind project taking final investment decision in 2015-2019.,Senegal Case Study,https://www.iea.org/reports/senegal-case-study
"Debt capital structure for transmission and distribution concessionaires in Brazil, 2020",https://www.iea.org/data-and-statistics/charts/debt-capital-structure-for-transmission-and-distribution-concessionaires-in-brazil-2020,IEA analysis based on Agência Nacional de Energia Eléctrica (2020) (https://shorturl.at/acvI0).,"Public banks are Brazilian state-owned banks such as the Banco do Brazil, which often offer loans at a lower interest rate than commercial banks. BNDES = National Bank for Economic and Social Development in Brazil.",Brazil Case Study,https://www.iea.org/reports/brazil-case-study
Cost of capital for utility-scale solar PV and storage projects taking final investment decision in 2022,https://www.iea.org/data-and-statistics/charts/cost-of-capital-for-utility-scale-solar-pv-and-storage-projects-taking-final-investment-decision-in-2022,,"Values are expressed in nominal, post tax and local currency. The cost of capital for solar PV projects represent responses for a 100 megawatt (MW) project and for utility-scale batteries a 40 MW project. Values represent average medians across countries. Advanced economies represent values in the United States and Europe.",Reducing the Cost of Capital,https://www.iea.org/reports/reducing-the-cost-of-capital
"Investment in emerging market and developing economies by sector’s commercial and technological readiness, cumulative 2024-2035",https://www.iea.org/data-and-statistics/charts/investment-in-emerging-market-and-developing-economies-by-sector-s-commercial-and-technological-readiness-cumulative-2024-2035,,"""Demonstration"" category includes hydrogen, hydrogen-based fuels, direct air capture, CCUS, ammonia, and marine power. ""Deployment"" includes large-scale heat pumps, concentrating solar power and investment in high-efficiency building envelope measures (excluding energy-efficient appliances that are commercially available in EMDE).",Reducing the Cost of Capital,https://www.iea.org/reports/reducing-the-cost-of-capital
"Gross domestic product and population by region, 2022",https://www.iea.org/data-and-statistics/charts/gross-domestic-product-and-population-by-region-2022,,2023 values are estimated.,Reducing the Cost of Capital,https://www.iea.org/reports/reducing-the-cost-of-capital
"Financing structure of selected transmission and distribution projects in Indonesia, 2010-2023",https://www.iea.org/data-and-statistics/charts/financing-structure-of-selected-transmission-and-distribution-projects-in-indonesia-2010-2023,,"Capital structure from selected projects (2010-2023): West Kalimantan Power Grid, Java and Sumatra Substations, Sumatra Electricity Grid Strengthening and Eastern Indonesia Program. ""Development finance institutions (DFI)"" include Asian Development Bank, World Bank, Islamic Development Bank, KfW Development Bank. ""Others"": Japan International Cooperation Agency, Clean Energy Financing Partnership Facility, Government of Indonesia.",Indonesia Case Study,https://www.iea.org/reports/indonesia-case-study
"Regulated weighted average cost of capital and risk-free premium for transmission in Brazil, 2011-2023",https://www.iea.org/data-and-statistics/charts/regulated-weighted-average-cost-of-capital-and-risk-free-premium-for-transmission-in-brazil-2011-2023,IEA analysis based on data from Agência Nacional de Energia Elétrica (https://www.gov.br/aneel/pt-br/centrais-de-conteudos/relatorios-e-indicadores).,Risk-free premium calculated by Agência Nacional de Energia Elétrica based on United States national treasury bond indexed to the Emerging Market Bond Index for Brazil tracked by J.P. Morgan.,Brazil Case Study,https://www.iea.org/reports/brazil-case-study
"Regulated weighted average cost of capital and risk-free premium for distribution in Brazil, 2011-2023",https://www.iea.org/data-and-statistics/charts/regulated-weighted-average-cost-of-capital-and-risk-free-premium-for-distribution-in-brazil-2011-2023,IEA analysis based on data from Agência Nacional de Energia Elétrica (https://www.gov.br/aneel/pt-br/centrais-de-conteudos/relatorios-e-indicadores).,Risk-free premium calculated by Agência Nacional de Energia Elétrica based on United States national treasury bond indexed to the Emerging Market Bond Index for Brazil tracked by J.P. Morgan.,Brazil Case Study,https://www.iea.org/reports/brazil-case-study
"Number of negotiated lots in auctions for transmission projects versus discount rate in Brazil, 2008-2022",https://www.iea.org/data-and-statistics/charts/number-of-negotiated-lots-in-auctions-for-transmission-projects-versus-discount-rate-in-brazil-2008-2022,IEA analysis based on data from Agência Nacional de Energia Elétrica (https://shorturl.at/ilMR6).,"Discount from initial revenue offer is calculated as the difference between the revenue generated through the auction process and the amount agreed upon by the winning off-takers in the auction, as a percentage of the initial revenue offer.",Brazil Case Study,https://www.iea.org/reports/brazil-case-study
"Accumulated losses by distribution companies in India, 2020-2022",https://www.iea.org/data-and-statistics/charts/accumulated-losses-by-distribution-companies-in-india-2020-2022,"IEA analysis based on Indian Ministry of Power (2023) Union Power & NRE (https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1914290); IEA analysis based on Indian Environmental Portal (2023), https://powerline.net.in/2023/04/17/11th-report-on-annual-integrated-rating-and-ranking-of-power-distribution-utilities-released/",Accumulated losses as of 31 March of the stated years.,India Case Study,https://www.iea.org/reports/india-case-study
Integrated ratings of distribution companies in India in 2023,https://www.iea.org/data-and-statistics/charts/integrated-ratings-of-distribution-companies-in-india-in-2023,"IEA analysis based on Indian Ministry of Power (2023) Union Power & NRE (https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1914290); IEA analysis based on Indian Environmental Portal (2023), https://powerline.net.in/2023/04/17/11th-report-on-annual-integrated-rating-and-ranking-of-power-distribution-utilities-released/","The integrated ratings of distribution companies are based on several metrics, of which 75% of the score is awarded based on financial sustainability, and the rest on metrics of efficiency and operations.",India Case Study,https://www.iea.org/reports/india-case-study
Electricity Generated from Hydro in Canada in comparison with Net Exports (January 2021-February 2024),https://www.iea.org/data-and-statistics/charts/electricity-generated-from-hydro-in-canada-in-comparison-with-net-exports-january-2021-february-2024,,,,
Average investment in grid and batteries by country and region in the Net Zero Scenario,https://www.iea.org/data-and-statistics/charts/average-investment-in-grid-and-batteries-by-country-and-region-in-the-net-zero-scenario,,,The clean energy economy demands massive integration investments now,https://www.iea.org/commentaries/the-clean-energy-economy-demands-massive-integration-investments-now
"CO2 emissions from electricity generation in China, 2014-2026",https://www.iea.org/data-and-statistics/charts/co2-emissions-from-electricity-generation-in-china-2014-2026,,,Electricity 2024,https://www.iea.org/reports/electricity-2024
"CO2 emissions from electricity generation in India and Southeast Asia, 2014-2026",https://www.iea.org/data-and-statistics/charts/co2-emissions-from-electricity-generation-in-india-and-southeast-asia-2014-2026,,,Electricity 2024,https://www.iea.org/reports/electricity-2024
"CO2 emissions from electricity generation in selected regions, 2014-2026",https://www.iea.org/data-and-statistics/charts/co2-emissions-from-electricity-generation-in-selected-regions-2014-2026,,,Electricity 2024,https://www.iea.org/reports/electricity-2024
Evolution of wind power in New Zealand (January 2020 - October 2023),https://www.iea.org/data-and-statistics/charts/evolution-of-wind-power-in-new-zealand-january-2020-october-2023,Monthly Electricity Statistics,,,
"Annual variable renewable energy share and corresponding system integration phase in selected countries/regions, 2022",https://www.iea.org/data-and-statistics/charts/annual-variable-renewable-energy-share-and-corresponding-system-integration-phase-in-selected-countries-regions-2022,"IEA (2019b), Status of Power System Transformation 2019.","VRE: variable renewable energy. In this figure, Kyushu is the third largest of the four main islands of Japan.",Solar Energy Policy in Uzbekistan: A Roadmap,https://www.iea.org/reports/solar-energy-policy-in-uzbekistan-a-roadmap
"Global CO2 emissions from electricity generation, 2014-2026",https://www.iea.org/data-and-statistics/charts/global-co2-emissions-from-electricity-generation-2014-2026,,,Electricity 2024,https://www.iea.org/reports/electricity-2024
"Evolution of nuclear power generation by region, 1972-2026",https://www.iea.org/data-and-statistics/charts/evolution-of-nuclear-power-generation-by-region-1972-2026,,,Electricity 2024,https://www.iea.org/reports/electricity-2024
"Renewable electricity capacity additions by technology and segment, 2016-2028",https://www.iea.org/data-and-statistics/charts/renewable-electricity-capacity-additions-by-technology-and-segment-2016-2028,,"2023 values are estimated. CSP = concentrated solar power. Capacity additions refer to net additions. Historical and forecast solar PV capacity may differ from previous editions of the renewable energy market report. This year, PV data for all countries have been converted to DC (direct current), increasing capacity for countries reporting in AC (alternating current). Conversions are based on an IEA survey of more than 80 countries and interviews with PV industry associations. Solar PV systems work by capturing sunlight using photovoltaic cells and converting it into DC electricity. The DC electricity is then usually converted using an inverter, as most electrical devices and power systems use AC. Until about 2010, AC and DC capacity in most PV systems were similar, but with developments in PV system sizing, these two values may now differ by up to 40%, especially in utility-scale installations. Solar PV and wind additions include capacity dedicated to hydrogen production.",Renewables 2023,https://www.iea.org/reports/renewables-2023
"Renewable electricity capacity growth by country or region, main case, 2005-2028",https://www.iea.org/data-and-statistics/charts/renewable-electricity-capacity-growth-by-country-or-region-main-case-2005-2028,,ASEAN= Association of Southeast Asian Nations. MENA = Middle East and north Africa. Capacity additions refer to net additions.,Renewables 2023,https://www.iea.org/reports/renewables-2023
"Renewable electricity capacity forecast revisions, 2023-2027",https://www.iea.org/data-and-statistics/charts/renewable-electricity-capacity-forecast-revisions-2023-2027,,Capacity additions refer to net additions.,Renewables 2023,https://www.iea.org/reports/renewables-2023
"Renewable electricity capacity forecast revisions by country, 2023-2027",https://www.iea.org/data-and-statistics/charts/renewable-electricity-capacity-forecast-revisions-by-country-2023-2027-2,,ASEAN = Association of Southeast Asian Nations. Capacity additions refer to net additions. Revisions refer to the difference between 2023-2027 forecasts from Renewables 2023 and Renewables 2022 reports.,Renewables 2023,https://www.iea.org/reports/renewables-2023
"Weighted average net margins of renewable energy companies, large utilities and oil majors, Q1-Q4 2022 and Q1-Q3 2023",https://www.iea.org/data-and-statistics/charts/weighted-average-net-margins-of-renewable-energy-companies-large-utilities-and-oil-majors-q1-q4-2022-and-q1-q3-2023,,,Renewables 2023,https://www.iea.org/reports/renewables-2023
