category,title,url,embedding,subtitle
Cardiovascular Diseases,Number of deaths from stroke,https://ourworldindata.org/grapher/deaths-from-strokes,"<iframe src=""https://ourworldindata.org/grapher/deaths-from-strokes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Number of deaths from stroke,https://ourworldindata.org/grapher/deaths-from-strokes-ghe,"<iframe src=""https://ourworldindata.org/grapher/deaths-from-strokes-ghe?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Number of deaths from stroke by age,https://ourworldindata.org/grapher/stroke-deaths-by-age,"<iframe src=""https://ourworldindata.org/grapher/stroke-deaths-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Pacemaker implantations per million people,https://ourworldindata.org/grapher/pacemaker-implantations-per-million-people,"<iframe src=""https://ourworldindata.org/grapher/pacemaker-implantations-per-million-people?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Positron emission tomography (PET) imaging units per million people,https://ourworldindata.org/grapher/availability-of-positron-emission-tomography-pet-imaging,"<iframe src=""https://ourworldindata.org/grapher/availability-of-positron-emission-tomography-pet-imaging?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of cardiovascular diseases,https://ourworldindata.org/grapher/prevalence-rate-of-cardiovascular-disease,"<iframe src=""https://ourworldindata.org/grapher/prevalence-rate-of-cardiovascular-disease?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of diabetes in adults,https://ourworldindata.org/grapher/diabetes-prevalence-who-gho,"<iframe src=""https://ourworldindata.org/grapher/diabetes-prevalence-who-gho?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of hypertension in adults aged 30-79,https://ourworldindata.org/grapher/hypertension-adults-30-79,"<iframe src=""https://ourworldindata.org/grapher/hypertension-adults-30-79?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of hypertension in men aged 30-79,https://ourworldindata.org/grapher/male-high-blood-pressure,"<iframe src=""https://ourworldindata.org/grapher/male-high-blood-pressure?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of hypertension in women aged 30-79,https://ourworldindata.org/grapher/women-high-blood-pressure,"<iframe src=""https://ourworldindata.org/grapher/women-high-blood-pressure?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Prevalence rate of obesity in adults,https://ourworldindata.org/grapher/obesity-prevalence-adults-who-gho,"<iframe src=""https://ourworldindata.org/grapher/obesity-prevalence-adults-who-gho?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of adults who smoke,https://ourworldindata.org/grapher/share-of-adults-who-smoke,"<iframe src=""https://ourworldindata.org/grapher/share-of-adults-who-smoke?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of deaths from cardiovascular diseases,https://ourworldindata.org/grapher/share-deaths-cardiovascular-disease,"<iframe src=""https://ourworldindata.org/grapher/share-deaths-cardiovascular-disease?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of deaths from cardiovascular diseases,https://ourworldindata.org/grapher/share-of-total-deaths-in-both-sexes-aged-all-ages-years-that-are-from-cardiovascular-diseases,"<iframe src=""https://ourworldindata.org/grapher/share-of-total-deaths-in-both-sexes-aged-all-ages-years-that-are-from-cardiovascular-diseases?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of deaths from major causes,https://ourworldindata.org/grapher/share-of-deaths-from-major-causes,"<iframe src=""https://ourworldindata.org/grapher/share-of-deaths-from-major-causes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of deaths from underlying causes,https://ourworldindata.org/grapher/share-of-deaths-from-underlying-causes,"<iframe src=""https://ourworldindata.org/grapher/share-of-deaths-from-underlying-causes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Share of percutaneous coronary interventions (PCI) performed by transradial access,https://ourworldindata.org/grapher/share-of-percutaneous-coronary-interventions-pci-performed-by-transradial-access,"<iframe src=""https://ourworldindata.org/grapher/share-of-percutaneous-coronary-interventions-pci-performed-by-transradial-access?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin accessibility in the public health sector,https://ourworldindata.org/grapher/accessibility-of-statins-in-the-public-health-sector,"<iframe src=""https://ourworldindata.org/grapher/accessibility-of-statins-in-the-public-health-sector?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin use,https://ourworldindata.org/grapher/utilization-of-statins,"<iframe src=""https://ourworldindata.org/grapher/utilization-of-statins?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin use by people with cardiovascular diseases to prevent complications,https://ourworldindata.org/grapher/use-of-statins-for-secondary-prevention-amongst-eligibible-individuals,"<iframe src=""https://ourworldindata.org/grapher/use-of-statins-for-secondary-prevention-amongst-eligibible-individuals?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin use to prevent the development of cardiovascular diseases,https://ourworldindata.org/grapher/use-of-statins-for-primary-prevention-of-cardiovascular-disease,"<iframe src=""https://ourworldindata.org/grapher/use-of-statins-for-primary-prevention-of-cardiovascular-disease?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin use vs death rate from cardiovascular diseases,https://ourworldindata.org/grapher/statin-use-cardiovascular-disease-death-rate,"<iframe src=""https://ourworldindata.org/grapher/statin-use-cardiovascular-disease-death-rate?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Cardiovascular Diseases,Statin use vs. average non-HDL cholesterol levels,https://ourworldindata.org/grapher/statin-use-vs-share-of-population-with-high-blood-pressure,"<iframe src=""https://ourworldindata.org/grapher/statin-use-vs-share-of-population-with-high-blood-pressure?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Acute hepatitis death rate,https://ourworldindata.org/grapher/hepatitis-death-rate,"<iframe src=""https://ourworldindata.org/grapher/hepatitis-death-rate?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Amphetamine use disorder death rate,https://ourworldindata.org/grapher/death-rate-amphetamine,"<iframe src=""https://ourworldindata.org/grapher/death-rate-amphetamine?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Amphetamine use disorder death rate,https://ourworldindata.org/grapher/death-rate-amphetamine-who,"<iframe src=""https://ourworldindata.org/grapher/death-rate-amphetamine-who?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Amphetamine use disorder deaths by sex,https://ourworldindata.org/grapher/deaths-amphetamine-overdoses-by-sex,"<iframe src=""https://ourworldindata.org/grapher/deaths-amphetamine-overdoses-by-sex?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Annual death rate from all causes,https://ourworldindata.org/grapher/age-standardized-deaths-from-all-causes,"<iframe src=""https://ourworldindata.org/grapher/age-standardized-deaths-from-all-causes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Annual deaths from road accidents,https://ourworldindata.org/grapher/road-deaths-by-type,"<iframe src=""https://ourworldindata.org/grapher/road-deaths-by-type?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Annual number of deaths: reported versus estimated,https://ourworldindata.org/grapher/total-deaths-comparison,"<iframe src=""https://ourworldindata.org/grapher/total-deaths-comparison?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Autopsy rate,https://ourworldindata.org/grapher/autopsy-rate,"<iframe src=""https://ourworldindata.org/grapher/autopsy-rate?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cancer death rate,https://ourworldindata.org/grapher/cancer-death-rate-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/cancer-death-rate-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cancer death rate by age group,https://ourworldindata.org/grapher/cancer-death-rate-by-age-group,"<iframe src=""https://ourworldindata.org/grapher/cancer-death-rate-by-age-group?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death,https://ourworldindata.org/grapher/annual-number-of-deaths-by-cause,"<iframe src=""https://ourworldindata.org/grapher/annual-number-of-deaths-by-cause?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death,https://ourworldindata.org/grapher/total-number-of-deaths-by-cause,"<iframe src=""https://ourworldindata.org/grapher/total-number-of-deaths-by-cause?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in 15- to 49-year-olds,https://ourworldindata.org/grapher/causes-of-death-in-15-49-year-olds,"<iframe src=""https://ourworldindata.org/grapher/causes-of-death-in-15-49-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in 50- to 69-year-olds,https://ourworldindata.org/grapher/causes-of-death-in-50-69-year-olds,"<iframe src=""https://ourworldindata.org/grapher/causes-of-death-in-50-69-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in children aged 5 to 14,https://ourworldindata.org/grapher/causes-of-death-in-5-14-year-olds,"<iframe src=""https://ourworldindata.org/grapher/causes-of-death-in-5-14-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in children under five,https://ourworldindata.org/grapher/causes-of-death-in-children-under-5,"<iframe src=""https://ourworldindata.org/grapher/causes-of-death-in-children-under-5?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in the United States over the 20th century,https://ourworldindata.org/grapher/twentieth-century-of-deaths-us,"<iframe src=""https://ourworldindata.org/grapher/twentieth-century-of-deaths-us?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Causes of death in the over 70s,https://ourworldindata.org/grapher/causes-of-death-in-70-year-olds,"<iframe src=""https://ourworldindata.org/grapher/causes-of-death-in-70-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,"Causes of death, by income group",https://ourworldindata.org/grapher/broad-causes-of-death,"<iframe src=""https://ourworldindata.org/grapher/broad-causes-of-death?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Child mortality by the type of congenital birth defect,https://ourworldindata.org/grapher/child-mortality-by-the-type-of-congenital-birth-defect,"<iframe src=""https://ourworldindata.org/grapher/child-mortality-by-the-type-of-congenital-birth-defect?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Child mortality rate by cause,https://ourworldindata.org/grapher/child-death-rates-by-cause,"<iframe src=""https://ourworldindata.org/grapher/child-death-rates-by-cause?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Chronic respiratory disease deaths by age,https://ourworldindata.org/grapher/respiratory-disease-deaths-by-age,"<iframe src=""https://ourworldindata.org/grapher/respiratory-disease-deaths-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Chronic respiratory diseases death rate,https://ourworldindata.org/grapher/respiratory-disease-death-rate,"<iframe src=""https://ourworldindata.org/grapher/respiratory-disease-death-rate?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Chronic respiratory diseases death rate,https://ourworldindata.org/grapher/chronic-respiratory-diseases-death-rate-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/chronic-respiratory-diseases-death-rate-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cocaine use disorder death rate,https://ourworldindata.org/grapher/death-rates-cocaine,"<iframe src=""https://ourworldindata.org/grapher/death-rates-cocaine?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cocaine use disorder death rate,https://ourworldindata.org/grapher/death-rates-cocaine-who,"<iframe src=""https://ourworldindata.org/grapher/death-rates-cocaine-who?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cocaine use disorder death rate by age,https://ourworldindata.org/grapher/death-rates-cocaine-overdoses-by-age,"<iframe src=""https://ourworldindata.org/grapher/death-rates-cocaine-overdoses-by-age?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Cocaine use disorder deaths by sex,https://ourworldindata.org/grapher/deaths-cocaine-overdoses-by-sex,"<iframe src=""https://ourworldindata.org/grapher/deaths-cocaine-overdoses-by-sex?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Congenital birth defect mortality rates in children under-5,https://ourworldindata.org/grapher/congenital-birth-defect-mortality-rates-in-children-under-5,"<iframe src=""https://ourworldindata.org/grapher/congenital-birth-defect-mortality-rates-in-children-under-5?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Countries adopting the International Classification of Diseases guidelines,https://ourworldindata.org/grapher/adoption-of-new-icd-guidelines-who-mortality-database,"<iframe src=""https://ourworldindata.org/grapher/adoption-of-new-icd-guidelines-who-mortality-database?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Crude death rate,https://ourworldindata.org/grapher/crude-death-rate,"<iframe src=""https://ourworldindata.org/grapher/crude-death-rate?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Crude death rate: the share of the population that dies each year,https://ourworldindata.org/grapher/crude-death-rate-the-share-of-the-population-that-dies-each-year-who,"<iframe src=""https://ourworldindata.org/grapher/crude-death-rate-the-share-of-the-population-that-dies-each-year-who?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Crude death rate: the share of the population that dies each year,https://ourworldindata.org/grapher/crude-death-rate-the-share-of-the-population-that-dies-each-year-gbd,"<iframe src=""https://ourworldindata.org/grapher/crude-death-rate-the-share-of-the-population-that-dies-each-year-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Daily new confirmed COVID-19 deaths in Sweden,https://ourworldindata.org/grapher/daily-new-confirmed-covid-19-deaths-in-sweden-oct-2020,"<iframe src=""https://ourworldindata.org/grapher/daily-new-confirmed-covid-19-deaths-in-sweden-oct-2020?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate attributed to household air pollution,https://ourworldindata.org/grapher/death-rate-household-air-pollution,"<iframe src=""https://ourworldindata.org/grapher/death-rate-household-air-pollution?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate attributed to household and ambient air pollution,https://ourworldindata.org/grapher/death-rate-household-and-ambient-air-pollution,"<iframe src=""https://ourworldindata.org/grapher/death-rate-household-and-ambient-air-pollution?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate by age group in England and Wales,https://ourworldindata.org/grapher/death-rate-by-age-group-in-england-and-wales,"<iframe src=""https://ourworldindata.org/grapher/death-rate-by-age-group-in-england-and-wales?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate by cause,https://ourworldindata.org/grapher/age-standardized-death-rate-by-cause,"<iframe src=""https://ourworldindata.org/grapher/age-standardized-death-rate-by-cause?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate due to low physical activity,https://ourworldindata.org/grapher/death-rates-due-to-low-physical-activity,"<iframe src=""https://ourworldindata.org/grapher/death-rates-due-to-low-physical-activity?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate due to low physical activity,https://ourworldindata.org/grapher/death-rates-due-to-low-physical-activity-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rates-due-to-low-physical-activity-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate due to road traffic injuries,https://ourworldindata.org/grapher/death-rate-road-traffic-injuries,"<iframe src=""https://ourworldindata.org/grapher/death-rate-road-traffic-injuries?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Alzheimer's,https://ourworldindata.org/grapher/dementia-death-rates,"<iframe src=""https://ourworldindata.org/grapher/dementia-death-rates?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Alzheimer's,https://ourworldindata.org/grapher/death-rate-from-alzheimers-other-dementias-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-alzheimers-other-dementias-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Alzheimer's,https://ourworldindata.org/grapher/death-rate-from-alzheimers-other-dementias-ghe,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-alzheimers-other-dementias-ghe?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Parkinson's disease,https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Parkinson's disease,https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from Parkinson's disease,https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease-ghe,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-parkinsons-disease-ghe?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from ambient particulate air pollution,https://ourworldindata.org/grapher/death-rate-from-ambient-particulate-air-pollution,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-ambient-particulate-air-pollution?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cancer,https://ourworldindata.org/grapher/death-rate-from-cancer-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-cancer-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cancer for 15- to 49-year olds,https://ourworldindata.org/grapher/death-rate-from-cancer-for-15--to-49-year-olds,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-cancer-for-15--to-49-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases,https://ourworldindata.org/grapher/cardiovascular-disease-death-rates,"<iframe src=""https://ourworldindata.org/grapher/cardiovascular-disease-death-rates?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases,https://ourworldindata.org/grapher/death-rate-from-cardiovascular-diseases,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-cardiovascular-diseases?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases,https://ourworldindata.org/grapher/death-rate-from-cardiovascular-disease-ghe,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-cardiovascular-disease-ghe?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases,https://ourworldindata.org/grapher/cardiovascular-disease-death-rate-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/cardiovascular-disease-death-rate-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases by age group,https://ourworldindata.org/grapher/cardiovascular-disease-death-rate-age-group-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/cardiovascular-disease-death-rate-age-group-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from cardiovascular diseases in 15- to 49-year olds,https://ourworldindata.org/grapher/death-rate-from-cardiovascular-disease-for-15--to-49-year-olds,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-cardiovascular-disease-for-15--to-49-year-olds?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from chronic respiratory diseases,https://ourworldindata.org/grapher/respiratory-disease-death-rate-gbd,"<iframe src=""https://ourworldindata.org/grapher/respiratory-disease-death-rate-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from communicable vs. non-communicable diseases,https://ourworldindata.org/grapher/death-rate-from-communicable-vs-non-communicable-diseases,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-communicable-vs-non-communicable-diseases?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from diabetes,https://ourworldindata.org/grapher/death-rate-from-diabetes,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-diabetes?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from diabetes,https://ourworldindata.org/grapher/death-rate-from-diabetes-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-diabetes-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from diabetes,https://ourworldindata.org/grapher/death-rate-from-diabetes-ghe,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-diabetes-ghe?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from diabetes,https://ourworldindata.org/grapher/death-rate-from-diabetes-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-diabetes-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from digestive diseases,https://ourworldindata.org/grapher/death-rate-from-digestive-diseases,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-digestive-diseases?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from digestive diseases,https://ourworldindata.org/grapher/death-rate-from-digestive-diseases-gbd,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-digestive-diseases-gbd?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
Causes of Death,Death rate from digestive diseases,https://ourworldindata.org/grapher/death-rate-from-digestive-diseases-who-mdb,"<iframe src=""https://ourworldindata.org/grapher/death-rate-from-digestive-diseases-who-mdb?tab=map"" loading=""lazy"" style=""width: 100%; height: 600px; border: 0px none;"" allow=""web-share; clipboard-write""></iframe>",
